"year","agDistrict","agDistrictCode","county","countyANSI","cornPlanted","cornHarvested","cornYield","cvCornPlanted","cvCornHarvested","cvCornYield","cornPercentHarvest"
2020,"SOUTHEAST",90,"PERRY",127,16100,15100,"166.9",0.3,2.8,3.8,0.937888198757764
2020,"SOUTHEAST",90,"VINTON",163,1500,1300,"170.8",3.7,4.9,3.3,0.866666666666667
2020,"SOUTHEAST",90,"WASHINGTON",167,8900,6300,"159.4",0.8,4.3,4.1,0.707865168539326
2020,"SOUTHWEST",70,"BUTLER",17,25700,24800,"167.2",0.3,3.1,2.9,0.964980544747082
2020,"SOUTHWEST",70,"CLINTON",27,68600,67200,"199.8",0.5,2.9,1.5,0.979591836734694
2020,"SOUTHWEST",70,"GREENE",57,60100,57000,"186.9",0.2,3.3,2.2,0.948419301164726
2020,"SOUTHWEST",70,"HAMILTON",61,3100,2870,"180.1",5.4,6.5,4.5,0.925806451612903
2020,"SOUTHWEST",70,"MONTGOMERY",113,35600,35000,"169.4",0.2,3,2,0.98314606741573
2020,"SOUTHWEST",70,"PREBLE",135,77400,71900,"196.9",0.9,3.2,1.9,0.928940568475452
2020,"SOUTHWEST",70,"WARREN",165,15400,15300,"176.7",0.7,3.2,1.9,0.993506493506494
2020,"WEST CENTRAL",40,"AUGLAIZE",11,77600,72300,"172.8",0.1,2.9,2.7,0.931701030927835
2020,"WEST CENTRAL",40,"CHAMPAIGN",21,89000,87000,"168.7",0.1,2.9,1.2,0.97752808988764
2020,"WEST CENTRAL",40,"CLARK",23,63100,59000,"183.6",0.7,2.8,3.2,0.935023771790808
2020,"WEST CENTRAL",40,"DARKE",37,137000,128000,"195.8",0.8,3.3,1.6,0.934306569343066
2020,"WEST CENTRAL",40,"HARDIN",65,87600,82000,"159.7",0.1,3.3,1.9,0.936073059360731
2020,"WEST CENTRAL",40,"LOGAN",91,71400,67300,"174.6",0.2,3.2,1.2,0.942577030812325
2020,"WEST CENTRAL",40,"MERCER",107,110500,87300,"185.2",0.1,4.5,1.6,0.790045248868778
2020,"WEST CENTRAL",40,"MIAMI",109,74800,72000,"190.1",0.1,3.2,2.3,0.962566844919786
2020,"WEST CENTRAL",40,"SHELBY",149,76800,71000,"187.6",0.1,3.4,1.7,0.924479166666667
2019,"CENTRAL",50,"DELAWARE",41,32000,31000,"135.5",NA,NA,NA,0.96875
2019,"CENTRAL",50,"FAIRFIELD",45,65000,62000,"173.4",NA,NA,NA,0.953846153846154
2019,"CENTRAL",50,"FAYETTE",47,84000,80500,"167.7",NA,NA,NA,0.958333333333333
2019,"CENTRAL",50,"FRANKLIN",49,16000,15500,"154.8",NA,NA,NA,0.96875
2019,"CENTRAL",50,"KNOX",83,54000,52000,"165.4",NA,NA,NA,0.962962962962963
2019,"CENTRAL",50,"MADISON",97,97000,83000,"166.3",NA,NA,NA,0.855670103092783
2019,"CENTRAL",50,"MARION",101,55000,52000,"164.4",NA,NA,NA,0.945454545454545
2019,"CENTRAL",50,"OTHER COUNTIES",NA,96000,91500,"154.1",NA,NA,NA,0.953125
2019,"CENTRAL",50,"PICKAWAY",129,92000,89000,"162.9",NA,NA,NA,0.967391304347826
2019,"CENTRAL",50,"ROSS",141,50000,47000,"174.5",NA,NA,NA,0.94
2019,"CENTRAL",50,"UNION",159,49000,46500,"148.4",NA,NA,NA,0.948979591836735
2019,"EAST CENTRAL",60,"BELMONT",13,700,100,"100",NA,NA,NA,0.142857142857143
2019,"EAST CENTRAL",60,"CARROLL",19,11000,9500,"100",NA,NA,NA,0.863636363636364
2019,"EAST CENTRAL",60,"COSHOCTON",31,27000,23400,"147.4",NA,NA,NA,0.866666666666667
2019,"EAST CENTRAL",60,"HARRISON",67,4000,3800,"150",NA,NA,NA,0.95
2019,"EAST CENTRAL",60,"HOLMES",75,21000,15700,"146.5",NA,NA,NA,0.747619047619048
2019,"EAST CENTRAL",60,"JEFFERSON",81,2300,2000,"155",NA,NA,NA,0.869565217391304
2019,"EAST CENTRAL",60,"TUSCARAWAS",157,22000,14500,"152.4",NA,NA,NA,0.659090909090909
2019,"NORTH CENTRAL",20,"ASHLAND",5,40000,35000,"145.7",NA,NA,NA,0.875
2019,"NORTH CENTRAL",20,"CRAWFORD",33,68000,64000,"178.9",NA,NA,NA,0.941176470588235
2019,"NORTH CENTRAL",20,"ERIE",43,22000,20500,"175.6",NA,NA,NA,0.931818181818182
2019,"NORTH CENTRAL",20,"OTHER COUNTIES",NA,63500,59000,"173.7",NA,NA,NA,0.929133858267717
2019,"NORTH CENTRAL",20,"RICHLAND",139,37000,33000,"163",NA,NA,NA,0.891891891891892
2019,"NORTH CENTRAL",20,"SANDUSKY",143,51000,49000,"180.6",NA,NA,NA,0.96078431372549
2019,"NORTH CENTRAL",20,"SENECA",147,48000,46000,"167.4",NA,NA,NA,0.958333333333333
2019,"NORTH CENTRAL",20,"WYANDOT",175,45500,43500,"163.2",NA,NA,NA,0.956043956043956
2019,"NORTHEAST",30,"ASHTABULA",7,19000,13500,"170.4",NA,NA,NA,0.710526315789474
2019,"NORTHEAST",30,"COLUMBIANA",29,25000,17500,"133.7",NA,NA,NA,0.7
2019,"NORTHEAST",30,"MAHONING",99,15000,11500,"134.8",NA,NA,NA,0.766666666666667
2019,"NORTHEAST",30,"MEDINA",103,14000,11300,"172.6",NA,NA,NA,0.807142857142857
2019,"NORTHEAST",30,"OTHER COUNTIES",NA,4700,3200,"131.3",NA,NA,NA,0.680851063829787
2019,"NORTHEAST",30,"PORTAGE",133,13500,12000,"145.8",NA,NA,NA,0.888888888888889
2019,"NORTHEAST",30,"STARK",151,30500,25000,"154",NA,NA,NA,0.819672131147541
2019,"NORTHEAST",30,"TRUMBULL",155,17500,15000,"163.3",NA,NA,NA,0.857142857142857
2019,"NORTHEAST",30,"WAYNE",169,60800,44000,"156.6",NA,NA,NA,0.723684210526316
2019,"NORTHWEST",10,"DEFIANCE",39,12000,7000,"160",NA,NA,NA,0.583333333333333
